mu0,mu1,mu2,C,CV,Ln,CV_SP,Ln_SP,mu3
-0.9999999999999947,-0.9999999999999121,-0.9999999999955065,-0.6530902962213447,-0.6030139471598045,0.648003580962472,0.0,0.5,-0.9999999995622084
-0.9999999999999944,-0.9999999999999077,-0.9999999999954212,-0.65801561007902,-0.5855555962800387,0.6180916914748174,0.0,0.5,-0.9999999995569623
-0.9999999999999942,-0.9999999999999066,-0.9999999999953623,-0.6652683192036231,-0.5711557116023487,0.5480223042247876,0.0,0.5,-0.9999999995442683
-0.9999999999999939,-0.9999999999999046,-0.9999999999953014,-0.6640844589955885,-0.560200989689624,0.5489085571118277,0.0,0.5,-0.9999999995357085
-0.9999999999999937,-0.9999999999999029,-0.9999999999951815,-0.6677034777505203,-0.5520955671785335,0.509626603204538,0.0,0.5,-0.9999999995288797
-0.9999999999999934,-0.9999999999999004,-0.9999999999952106,-0.6732850849102661,-0.5313331466676822,0.4823863488955036,0.0,0.5,-0.9999999995269403
-0.9999999999999932,-0.9999999999998996,-0.9999999999951831,-0.675607326325889,-0.5182915460956494,0.4797613257130542,0.0,0.5,-0.999999999518974
-0.9999999999999931,-0.9999999999998981,-0.9999999999951233,-0.6734606110892671,-0.507723316941135,0.43216819401916373,0.0,0.5,-0.9999999995346699
-1.0,-0.9999999999999996,-0.999999999999964,-0.36,0.0,0.5,0.0,0.5,-0.999999999995
-1.0,-0.999999999999999,-0.9999999999999386,-0.36145303318299593,-0.9275925951615437,1.752966635689142,0.0,0.5,-0.9999999999923257
-1.0,-0.9999999999999984,-0.9999999999998961,-0.37458959961755145,-1.1564501835205587,2.593082537748674,0.0,0.5,-0.9999999999880904
-0.9999999999999999,-0.9999999999999976,-0.9999999999998324,-0.36888360235445705,-1.1718345596996158,3.0094293674754304,0.0,0.5,-0.9999999999812341
-0.9999999999999999,-0.9999999999999964,-0.999999999999741,-0.3761180002766198,-1.0967457441290265,2.9905650995926107,0.0,0.5,-0.9999999999706878
-0.9999999999999999,-0.9999999999999948,-0.9999999999996096,-0.3931579644812697,-1.0041206046577107,2.755233044058381,0.0,0.5,-0.9999999999551754
-0.9999999999999998,-0.9999999999999926,-0.9999999999994305,-0.40598673034360133,-0.8996904875598456,2.2191495694248466,0.0,0.5,-0.9999999999352982
-0.9999999999999997,-0.999999999999989,-0.9999999999992002,-0.4124434932579871,-0.8526158271431281,1.967826068224933,0.0,0.5,-0.9999999999071544
-0.9999999999999994,-0.9999999999999843,-0.9999999999989112,-0.4378832321737539,-0.8246114928977561,1.809076859031308,0.0,0.5,-0.9999999998707989
-0.9999999999999992,-0.9999999999999779,-0.9999999999985459,-0.4592894132789478,-0.8013153083868412,1.6317418503966175,0.0,0.5,-0.999999999834595
-0.9999999999999989,-0.9999999999999712,-0.9999999999981436,-0.49942288945088875,-0.7890741090517412,1.4837549574098272,0.0,0.5,-0.9999999997902304
-0.9999999999999984,-0.9999999999999629,-0.9999999999977444,-0.5232727563963735,-0.771649876927597,1.2964245910073213,0.0,0.5,-0.9999999997558444
-0.999999999999998,-0.9999999999999544,-0.9999999999973839,-0.536850575255164,-0.7613623077324403,1.245758772556639,0.0,0.5,-0.9999999997189892
-0.9999999999999977,-0.999999999999948,-0.999999999997032,-0.5620147089149694,-0.7600034793466073,1.17854973723668,0.0,0.5,-0.9999999996888881
-0.9999999999999971,-0.9999999999999415,-0.9999999999968109,-0.5851134813148895,-0.7324938290045853,1.0185059398126493,0.0,0.5,-0.9999999996596094
